
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D10,GPIO17,,SPI1_D0,EPWM8_A,MMC_SDWP,UART5_TXD,OSPI0_ECC_FAIL,PR1_PRU1_GPIO16,FSIRX0_D0,GPIO17,GPMC0_DIR,CHANNEL6,XBAROUT3,,,,,
D13,VDDAR2,,,,,,,,,,,,,,,,,
C9,GPIO18,,SPI1_D1,EPWM8_B,MMC_SDCD,UART5_RXD,OSPI0_RESET_OUT0,PR1_PRU1_GPIO15,FSIRX0_D1,GPIO18,GPMC0_WPn,CHANNEL7,XBAROUT4,,,,,
A11,GPIO19,,LIN1_RXD,OSPI0_ECC_FAIL,SPI2_CS0,PR1_PRU1_GPIO6,OSPI1_ECC_FAIL,UART1_RXD,GPMC0_AD6,GPIO19,OSPI0_RESET_OUT1,,XBAROUT5,EPWM6_B,,,,
B11,GPIO20,,LIN1_TXD,OSPI0_RESET_OUT0,SPI2_CLK,PR1_PRU1_GPIO8,OSPI1_RESET_OUT0,UART1_TXD,GPMC0_AD8,GPIO20,,,XBAROUT6,EPWM6_A,,,,
H12,VSS_H12,,,,,,,,,,,,,,,,,
B10,GPIO21,,LIN2_RXD,UART2_RXD,SPI2_D0,USB0_DRVVBUS,OSPI1_RESET_OUT1,OSPI0_RESET_OUT1,,GPIO21,GPMC0_CSn0,,,,,,,
A10,GPIO22,,LIN2_TXD,UART2_TXD,SPI2_D1,,,,,GPIO22,GPMC0_ADVn_ALE,,,,,,,
A9,GPIO24,,I2C1_SDA,,SPI3_CLK,PR1_PRU0_GPIO18,,,GPMC0_OEn_REn,GPIO24,,,XBAROUT8,,,,,
B9,GPIO23,,I2C1_SCL,,SPI3_CS0,PR1_PRU0_GPIO17,,,GPMC0_WEn,GPIO23,,,XBAROUT7,,,,,
D8,GPIO26,,UART0_CTSn,I2C2_SDA,SPI3_D1,SPI0_CS1,PR1_PRU0_GPIO7,UART3_TXD,,GPIO26,,,XBAROUT10,,,,,
C7,GPIO25,,UART0_RTSn,I2C2_SCL,SPI3_D0,PR1_PRU1_GPIO19,PR1_PRU0_GPIO17,UART3_RXD,GPMC0_WAIT1,GPIO25,,,XBAROUT9,,,,,
A8,GPIO27,UART0_RXD,UART0_RXD,LIN0_RXD,,,,,,GPIO27,,,XBAROUT4,,,,,
G12,VSS_G12,,,,,,,,,,,,,,,,,
B8,GPIO28,UART0_TXD,UART0_TXD,LIN0_TXD,,,,,,GPIO28,,,XBAROUT5,,,,,
P13,VSS_P13,,,,,,,,,,,,,,,,,
N13,VSS_N13,,,,,,,,,,,,,,,,,
A7,GPIO84,,MMC_SDCD,UART0_CTSn,I2C2_SDA,,,,,GPIO84,SDFM1_D3,,,,,,,
B7,GPIO77,,MMC_CLK,UART0_RXD,LIN0_RXD,MCAN0_RX,PR1_MDIO0_MDIO,,,GPIO77,SDFM1_CLK0,,,,,,,
A6,GPIO78,,MMC_CMD,UART0_TXD,LIN0_TXD,MCAN0_TX,PR1_MDIO0_MDC,,,GPIO78,SDFM1_D0,,,,,,,
B6,GPIO79,,MMC_DAT0,UART2_RXD,I2C1_SCL,MCAN1_RX,PR1_PRU0_GPIO10,,,GPIO79,SDFM1_CLK1,,,,,,,
M13,VSS_M13,,,,,,,,,,,,,,,,,
A5,GPIO80,,MMC_DAT1,,,MCAN1_TX,PR1_PRU0_GPIO9,,,GPIO80,SDFM1_D1,,,,,,,
B5,GPIO81,,MMC_DAT2,UART2_TXD,I2C1_SDA,,PR1_PRU0_GPIO0,,,GPIO81,SDFM1_CLK2,,,,,,,
A4,GPIO82,,MMC_DAT3,UART3_RTSn,,,PR1_PRU0_GPIO1,,,GPIO82,SDFM1_D2,,,,,,,
B4,GPIO83,,MMC_SDWP,UART0_RTSn,I2C2_SCL,,PR1_PRU0_GPIO2,,,GPIO83,SDFM1_CLK3,,,,,,,
C5,TDI,,TDI,,,,,,,,,,,,,,,
D6,TMS,,TMS,,,,,,,,,,,,,,,
D4,TCK,,TCK,,,,,,,,,,,,,,,
E5,TDO,,TDO,,,,,,,,,,,,,,,
L13,VSS_L13,,,,,,,,,,,,,,,,,
K13,VSS_K13,,,,,,,,,,,,,,,,,
B3,GPIO43,,EPWM0_A,,PR1_PRU0_GPIO5,,,,GPMC0_A3,GPIO43,,,EPWM0_A,,,,,
C3,GPIO44,,EPWM0_B,,PR1_PRU0_GPIO8,,,,GPMC0_A6,GPIO44,,,EPWM0_B,,,,,
A2,GPIO45,,EPWM1_A,,PR1_PRU0_GPIO6,,,,GPMC0_A4,GPIO45,,,EPWM1_A,,,,,
A3,GPIO46,,EPWM1_B,,PR1_PRU0_GPIO4,,,,GPMC0_A2,GPIO46,,,EPWM4_B,,,,,
E3,SAFETY_ERRORn,,SAFETY_ERRORn,,,,,,,,,,,,,,,
B1,GPIO47,,EPWM2_A,,PR1_PRU0_GPIO3,,,,GPMC0_A1,GPIO47,,,EPWM2_A,,,,,
B2,GPIO48,,EPWM2_B,,PR1_PRU0_GPIO16,,PR1_PRU0_GPIO7,,GPMC0_A14,GPIO48,,,EPWM2_B,,,,,
C1,GPIO49,,EPWM3_A,,PR1_PRU0_GPIO15,,,,GPMC0_A13,GPIO49,,,EPWM3_A,,,,,
J13,VSS_J13,,,,,,,,,,,,,,,,,
H13,VSS_H13,,,,,,,,,,,,,,,,,
G13,VSS_G13,,,,,,,,,,,,,,,,,
R14,VSS_R14,,,,,,,,,,,,,,,,,
P14,VSS_P14,,,,,,,,,,,,,,,,,
N14,VSS_N14,,,,,,,,,,,,,,,,,
M14,VSS_M14,,,,,,,,,,,,,,,,,
L14,VSS_L14,,,,,,,,,,,,,,,,,
K14,VSS_K14,,,,,,,,,,,,,,,,,
J14,VSS_J14,,,,,,,,,,,,,,,,,
H14,VSS_H14,,,,,,,,,,,,,,,,,
G14,VSS_G14,,,,,,,,,,,,,,,,,
R15,VSS_R15,,,,,,,,,,,,,,,,,
F15,VSS_F15,,,,,,,,,,,,,,,,,
Y20,VSS_Y20,,,,,,,,,,,,,,,,,
A20,VSS_A20,,,,,,,,,,,,,,,,,
RTI0_TIMER,RTI0_TIMER,,RTI0_TIMER,,,,,,,,,,,,,,,
RTI1_TIMER,RTI1_TIMER,,RTI1_TIMER,,,,,,,,,,,,,,,
RTI2_TIMER,RTI2_TIMER,,RTI2_TIMER,,,,,,,,,,,,,,,
RTI3_TIMER,RTI3_TIMER,,RTI3_TIMER,,,,,,,,,,,,,,,

