
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
T16,VDDS18_T16,,,,,,,,,,,,,,,,,
K7,VSS_K7,,,,,,,,,,,,,,,,,
F14,VDD_F14,,,,,,,,,,,,,,,,,
R2,GPIO3,,OSPI0_D0,EPWM9_A,PR1_PRU1_GPIO11,UART1_DCDn,,,GPMC0_AD11,GPIO3,,,,,,,,
R1,GPIO4,,OSPI0_D1,EPWM9_B,PR1_PRU1_GPIO12,UART1_RIn,,,GPMC0_AD12,GPIO4,,,,,,,,
T1,GPIO5,,OSPI0_D2,SPI0_D0,OSPI0_D6,,,,,GPIO5,,,,,,,,
P3,VPP_P3,,,,,,,,,,,,,,,,,
U1,GPIO6,,OSPI0_D3,SPI0_D1,OSPI0_D4,,,,,GPIO6,,,,,,,,
U4,GPIO0,,OSPI0_CSn0,SPI0_CS0,UART3_RXD,,OSPI0_D0,,,GPIO0,,,,,,,,
T2,GPIO1,,OSPI0_CSn1,SPI0_CLK,UART3_TXD,,,UART2_RTSn,,GPIO1,,,XBAROUT0,,,,,
U2,GPIO121,,EXT_REFCLK0,SAFETY_ERRORn,USB0_DRVVBUS,PR0_IEP0_EDIO_DATA_IN_OUT30,,,GPMC0_A18,GPIO121,,EQEP1_INDEX,XBAROUT15,,,,,
J7,VSS_J7,,,,,,,,,,,,,,,,,
P15,VDD_P15,,,,,,,,,,,,,,,,,
V3,PORz,,PORz,,,,,,,,,,,,,,,
G16,VDDS18_G16,,,,,,,,,,,,,,,,,
H7,VSS_H7,,,,,,,,,,,,,,,,,
G7,VSS_G7,,,,,,,,,,,,,,,,,
P5,VDDA33_USB_P5,,,,,,,,,,,,,,,,,
P8,VSS_P8,,,,,,,,,,,,,,,,,
W1,GPIO140,,USB0_DM,UART5_TXD,,,,,,GPIO140,,,,,,,,
V1,GPIO139,,USB0_DP,UART5_RXD,,,,,,GPIO139,,,,,,,,
N8,VSS_N8,,,,,,,,,,,,,,,,,
T5,VDDA18_USB_T5,,,,,,,,,,,,,,,,,
M8,VSS_M8,,,,,,,,,,,,,,,,,
L8,VSS_L8,,,,,,,,,,,,,,,,,
M15,VDD_M15,,,,,,,,,,,,,,,,,
K8,VSS_K8,,,,,,,,,,,,,,,,,
J15,VDD_J15,,,,,,,,,,,,,,,,,
G15,VDD_G15,,,,,,,,,,,,,,,,,
J8,VSS_J8,,,,,,,,,,,,,,,,,
H8,VSS_H8,,,,,,,,,,,,,,,,,
G8,VSS_G8,,,,,,,,,,,,,,,,,
U6,VDDS18_LDO_U6,,,,,,,,,,,,,,,,,
T7,VDDSHV_F_T7,,,,,,,,,,,,,,,,,
U8,VDDA18_OSC_PLL_U8,,,,,,,,,,,,,,,,,
P9,VSS_P9,,,,,,,,,,,,,,,,,
N9,VSS_N9,,,,,,,,,,,,,,,,,
Y2,XTAL_XO,,XTAL_XO,,,,,,,,,,,,,,,
M9,VSS_M9,,,,,,,,,,,,,,,,,
Y3,XTAL_XI,,XTAL_XI,,,,,,,,,,,,,,,
